item,kind,registry,meta,description,hearts,hearts_vs_undead,hearts_vs_arthropod,attack_hp,base_attack_hp,damage_reduction_pct,armor_points,armor_icons,slot,durability,epf_all,epf_conditional,found in,variants,enchant_level,nbt
Bronze Pickaxe,Tinkers' tool,TConstruct:pickaxe,0,"2 hearts (4 HP) · named ""Bronze Pickaxe"" · built from head Bronze, handle Bronze, accessory Bronze · durability 356 / 356 · attack 4, mining speed 650, harvest level Redstone · reinforced 1",2.0,2.0,2.0,4.0,4.0,,,,,,,,chestgenhooks/villageBlacksmith,1,,"{InfiTool:{Accessory:14,HarvestLevel:3,BaseDurability:356,Handle:14,RenderHandle:14,Built:1b,Broken:0b,BaseAttack:4,ToolEXP:0L,Head:14,Attack:4,Shoddy:0.0f,ModDurability:0.0f,RenderAccessory:14,MiningSpeed:650,Modifiers:0,Unbreaking:1,TotalDurability:356,RenderHead:14,HeadEXP:0L,BonusDurability:0,Damage:0,ToolLevel:1,HarvestLevelModified:0b},display:{Name:""§fBronze Pickaxe""}}"
Bronze Shovel,Tinkers' tool,TConstruct:shovel,0,"2.5 hearts (5 HP) · named ""Bronze Shovel"" · built from head Bronze, handle Bronze · durability 356 / 356 · attack 5, mining speed 650, harvest level Redstone · reinforced 1",2.5,2.5,2.5,5.0,5.0,,,,,,,,chestgenhooks/villageBlacksmith,1,,"{InfiTool:{Damage:0,HarvestLevel:4,BaseDurability:356,Handle:14,Attack:5,Built:1b,Broken:0b,BaseAttack:5,ToolEXP:0L,Head:14,Shoddy:0.0f,RenderHandle:14,ModDurability:0.0f,MiningSpeed:650,Modifiers:0,Unbreaking:1,TotalDurability:356,RenderHead:14,ToolLevel:1,BonusDurability:0},display:{Name:""§fBronze Shovel""}}"
Hylian Shield,Tinkers' tool,tinkersdefense:Heater,0,"2 hearts (4 HP) · named ""Hylian Shield"" · built from head Cobalt, handle Cobalt, accessory Cobalt · durability 3937 / 3937 · attack 4, mining speed 1100, harvest level Manyullyn · reinforced 2",2.0,2.0,2.0,4.0,4.0,,,,,,,,roguelike/ARMOUR,1,,"{InfiTool:{BonusDurability:0,BaseDurability:3937,HarvestLevel:8,Broken:0b,Head:10,Attack:4,Accessory:10,ModDurability:0.0f,Shoddy:0.0f,ToolEXP:0L,RenderAccessory:10,MiningSpeed:1100,Modifiers:0,TotalDurability:3937,MiningSpeed2:1100,RenderHead:10,Handle:10,Damage:0,Built:1b,BaseAttack:4,Extra:10,RenderHandle:10,Unbreaking:2,RenderExtra:10,HarvestLevel2:8,ToolLevel:1}, display:{Name:""Hylian Shield""}}"
Starter Hatchet,Tinkers' tool,TConstruct:hatchet,0,"2 hearts (4 HP) · named ""Starter Hatchet"" · built from head Wooden, handle Wooden · durability 38 / 38 · attack 4, mining speed 150, harvest level Stone",2.0,2.0,2.0,4.0,4.0,,,,,,,,chestgenhooks/bonusChest,2,,"{InfiTool:{BonusDurability:0,HarvestLevel:0,BaseDurability:38,Handle:0,Damage:0,Attack:4,Broken:0b,BaseAttack:4,ToolEXP:0L,Head:0,Shoddy:0.0f,RenderHandle:0,ModDurability:0.0f,MiningSpeed:150,Modifiers:0,Unbreaking:0,TotalDurability:38,RenderHead:0,ToolLevel:1},display:{Name:""§fStarter Hatchet""}}"
Starter Pickaxe,Tinkers' tool,TConstruct:pickaxe,0,"1 hearts (2 HP) · named ""Starter Pickaxe"" · built from head Wooden, handle Wooden, accessory Wooden · durability 38 / 38 · attack 2, mining speed 150, harvest level Stone",1.0,1.0,1.0,2.0,2.0,,,,,,,,chestgenhooks/bonusChest,2,,"{InfiTool:{Damage:0,HarvestLevel:0,BaseDurability:38,Handle:0,Attack:2,ToolEXP:0L,Broken:0b,BaseAttack:2,Head:0,Shoddy:0.0f,Accessory:0,RenderHandle:0,ModDurability:0.0f,RenderAccessory:0,MiningSpeed:150,Modifiers:0,Unbreaking:0,TotalDurability:38,RenderHead:0,ToolLevel:1,BonusDurability:0},display:{Name:""§fStarter Pickaxe""}}"
Zero Point Module,charged,gregtech:gt.metaitem.01,32598,"charge 2,147,483,647 EU (full)",,,,,,,,,,,,,chestgenhooks/pyramidJungleChest,1,,{GT.ItemCharge:2147483647L}
Achilles' Aegis,enchanted,Natura:natura.armor.immpjerkin,0,"named ""Achilles' Aegis"" · enchanted: Protection VII, Unbreaking III",,,,,,,,,,,,,roguelike/ARMOUR,1,,"{ench:[0:{id:0s,lvl:7s},1:{id:34s,lvl:3s}],display:{Name:""Achilles' Aegis""}}"
Bow,enchanted,minecraft:bow,0,"enchanted: Infinity I, Punch II",,,,,,,,,,,,,tftreasure/uncommon,1,,"{ench:[0:{lvl:1s,id:51s},1:{lvl:2s,id:49s}]}"
Bow,enchanted,minecraft:bow,0,"enchanted: Power III, Flame I",,,,,,,,,,,,,tftreasure/uncommon,1,,"{ench:[0:{lvl:3s,id:48s},1:{lvl:1s,id:50s}]}"
Diamond Leggings,enchanted,minecraft:diamond_leggings,0,"40.7% damage reduction · 6 armour (3 icons), leggings · +7 EPF vs all damage · +15 vs explosions, 15 vs projectiles EPF · named ""Zirconium Pants"" · enchanted: Projectile Protection V, Protection V, Blast Protection V",,,,,,40.7,6,3.0,leggings,495,7,"15 vs explosions, 15 vs projectiles",roguelike/ARMOUR,1,,"{ench:[0:{id:4s,lvl:5s},1:{id:0s,lvl:5s},2:{id:3s,lvl:5s}],display:{Name:""Zirconium Pants""}}"
Diamond Sword,enchanted,minecraft:diamond_sword,0,"5.38 hearts (10.75 HP) · named ""Smith's Sword"" · enchanted: Auto-Smelt I, Sharpness III",5.38,5.38,5.38,10.75,7.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:46s,lvl:1s},1:{id:16s,lvl:3s}],display:{Name:""Smith's Sword""}}"
Diamond Sword,enchanted,minecraft:diamond_sword,0,"5.38 hearts (10.75 HP) · named ""Wise Wakizashi"" · enchanted: Elder Wisdom V, Sharpness III",5.38,5.38,5.38,10.75,7.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:98s,lvl:5s},1:{id:16s,lvl:3s}],display:{Name:""Wise Wakizashi""}}"
Diamond Sword,enchanted,minecraft:diamond_sword,0,"5.38 hearts (10.75 HP) · named ""Blighted Blade"" · enchanted: Decay I, Sharpness III",5.38,5.38,5.38,10.75,7.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:10s,lvl:1s},1:{id:16s,lvl:3s}],display:{Name:""Blighted Blade""}}"
Diamond Sword,enchanted,minecraft:diamond_sword,0,"3.5 hearts (7 HP) · 6 vs undead · named ""Librarian's Liuyedao"" · enchanted: XP Boost III, Smite II · repair cost 1",3.5,6.0,3.5,7.0,7.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:45s,lvl:3s},1:{id:17s,lvl:2s}],RepairCost:1,display:{Name:""Librarian's Liuyedao""}}"
Diamond Sword,enchanted,minecraft:diamond_sword,0,"5.38 hearts (10.75 HP) · named ""Kindled Katana"" · enchanted: Fire Aspect II, Sharpness III",5.38,5.38,5.38,10.75,7.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:20s,lvl:2s},1:{id:16s,lvl:3s}],display:{Name:""Kindled Katana""}}"
Diamond Sword,enchanted,minecraft:diamond_sword,0,"4.75 hearts (9.5 HP) · named ""Sword of Victory"" · enchanted: Looting III, Sharpness II, XP Boost V",4.75,4.75,4.75,9.5,7.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:21s,lvl:3s},1:{id:16s,lvl:2s},2:{id:45s,lvl:5s}],display:{Name:""Sword of Victory""}}"
Diamond Sword,enchanted,minecraft:diamond_sword,0,"4.75 hearts (9.5 HP) · named ""Thanatos' Talwar"" · enchanted: Reaper V, Sharpness II",4.75,4.75,4.75,9.5,7.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:180s,lvl:5s},1:{id:16s,lvl:2s}],display:{Name:""Thanatos' Talwar""}}"
Diamond Sword,enchanted,minecraft:diamond_sword,0,"6.62 hearts (13.25 HP) · named ""Warrior's Warblade"" · enchanted: Sharpness V",6.62,6.62,6.62,13.25,7.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:16s,lvl:5s}],display:{Name:""Warrior's Warblade""}}"
Diamond Sword,enchanted,minecraft:diamond_sword,0,"3.5 hearts (7 HP) · named ""Gambler's Grave"" · enchanted: XP Boost III, Looting III",3.5,3.5,3.5,7.0,7.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:45s,lvl:3s},1:{id:21s,lvl:3s}],display:{Name:""Gambler's Grave""}}"
Diamond Sword,enchanted,minecraft:diamond_sword,0,"3.5 hearts (7 HP) · 11 vs arthropods · named ""Pest Control Pestilence"" · enchanted: Bane of Arthropods VI, Auto-Smelt I",3.5,3.5,11.0,7.0,7.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:18s,lvl:6s},1:{id:46s,lvl:1s}],display:{Name:""Pest Control Pestilence""}}"
Diamond Sword,enchanted,minecraft:diamond_sword,0,"4.75 hearts (9.5 HP) · named ""Fireman's Fury"" · enchanted: Unbreaking III, Fire Aspect II, Sharpness II",4.75,4.75,4.75,9.5,7.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:34s,lvl:3s},1:{id:20s,lvl:2s},2:{id:16s,lvl:2s}],display:{Name:""Fireman's Fury""}}"
Diamond Sword,enchanted,minecraft:diamond_sword,0,"7.88 hearts (15.75 HP) · named ""Excalibur"" · enchanted: Sharpness VII, Fire Aspect II",7.88,7.88,7.88,15.75,7.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:16s,lvl:7s},1:{id:20s,lvl:2s}],display:{Name:""Excalibur""}}"
Golden Boots,enchanted,minecraft:golden_boots,0,"4% damage reduction · 1 armour (0.5 icons), boots · named ""Comfortable Cuirass"" · enchanted: Last Stand II",,,,,,4.0,1,0.5,boots,91,0,,roguelike/ARMOUR,1,,"{ench:[0:{id:212s,lvl:2s}],display:{Name:""Comfortable Cuirass""}}"
Golden Chestplate,enchanted,minecraft:golden_chestplate,0,"20% damage reduction · 5 armour (2.5 icons), chestplate · named ""Comfortable Cuirass"" · enchanted: Last Stand II",,,,,,20.0,5,2.5,chestplate,112,0,,roguelike/ARMOUR,1,,"{ench:[0:{id:212s,lvl:2s}],display:{Name:""Comfortable Cuirass""}}"
Golden Helmet,enchanted,minecraft:golden_helmet,0,"8% damage reduction · 2 armour (1 icons), helmet · named ""Comfortable Cuirass"" · enchanted: Last Stand II",,,,,,8.0,2,1.0,helmet,77,0,,roguelike/ARMOUR,1,,"{ench:[0:{id:212s,lvl:2s}],display:{Name:""Comfortable Cuirass""}}"
Golden Leggings,enchanted,minecraft:golden_leggings,0,"12% damage reduction · 3 armour (1.5 icons), leggings · named ""Comfortable Cuirass"" · enchanted: Last Stand II",,,,,,12.0,3,1.5,leggings,105,0,,roguelike/ARMOUR,1,,"{ench:[0:{id:212s,lvl:2s}],display:{Name:""Comfortable Cuirass""}}"
Golden Sword,enchanted,minecraft:golden_sword,0,"2 hearts (4 HP) · 10.75 vs undead · named ""Gladius Imperatoria"" · enchanted: Smite VII, Unbreaking V",2.0,10.75,2.0,4.0,4.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:17s,lvl:7s},1:{id:34s,lvl:5s}],display:{Name:""Gladius Imperatoria""}}"
Hardened Leather Boots,enchanted,harvestcraft:hardenedleatherbootsItem,0,"8% damage reduction · 2 armour (1 icons), boots · +5 vs explosions EPF · named ""Bold Brigandine"" · enchanted: Unbreaking II, Blast Protection II",,,,,,8.0,2,1.0,boots,195,0,5 vs explosions,roguelike/ARMOUR,1,,"{ench:[0:{id:34s,lvl:2s},1:{id:3s,lvl:2s}],display:{Name:""Bold Brigandine""}}"
Hardened Leather Chest,enchanted,harvestcraft:hardenedleatherchestItem,0,"24% damage reduction · 6 armour (3 icons), chestplate · +5 vs explosions EPF · named ""Bold Brigandine"" · enchanted: Unbreaking II, Blast Protection II",,,,,,24.0,6,3.0,chestplate,240,0,5 vs explosions,roguelike/ARMOUR,1,,"{ench:[0:{id:34s,lvl:2s},1:{id:3s,lvl:2s}],display:{Name:""Bold Brigandine""}}"
Hardened Leather Helm,enchanted,harvestcraft:hardenedleatherhelmItem,0,"8% damage reduction · 2 armour (1 icons), helmet · +5 vs explosions EPF · named ""Bold Brigandine"" · enchanted: Unbreaking II, Blast Protection II",,,,,,8.0,2,1.0,helmet,165,0,5 vs explosions,roguelike/ARMOUR,1,,"{ench:[0:{id:34s,lvl:2s},1:{id:3s,lvl:2s}],display:{Name:""Bold Brigandine""}}"
Hardened Leather Leggings,enchanted,harvestcraft:hardenedleatherleggingsItem,0,"20% damage reduction · 5 armour (2.5 icons), leggings · +5 vs explosions EPF · named ""Bold Brigandine"" · enchanted: Unbreaking II, Blast Protection II",,,,,,20.0,5,2.5,leggings,225,0,5 vs explosions,roguelike/ARMOUR,1,,"{ench:[0:{id:34s,lvl:2s},1:{id:3s,lvl:2s}],display:{Name:""Bold Brigandine""}}"
Iron Axe,enchanted,minecraft:iron_axe,0,"4.38 hearts (8.75 HP) · named ""Deadly Dane Axe"" · enchanted: Sharpness III",4.38,4.38,4.38,8.75,5.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:16s,lvl:3s}],display:{Name:""Deadly Dane Axe""}}"
Iron Axe,enchanted,minecraft:iron_axe,0,"4.38 hearts (8.75 HP) · named ""Mighty Meteor Hammer"" · enchanted: Sharpness III, Knockback III",4.38,4.38,4.38,8.75,5.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:16s,lvl:3s},1:{id:19s,lvl:3s}],display:{Name:""Mighty Meteor Hammer""}}"
Iron Sword,enchanted,minecraft:iron_sword,0,"3 hearts (6 HP) · named ""Hero's Sword"" · enchanted: Fire Aspect II",3.0,3.0,3.0,6.0,6.0,,,,,,,,roguelike/SMITH,1,,"{ench:[0:{id:20s,lvl:2s}],display:{Name:""Hero's Sword""}}"
Iron Sword,enchanted,minecraft:iron_sword,0,"3.62 hearts (7.25 HP) · named ""Great Gladius"" · enchanted: Unbreaking III, Sharpness I",3.62,3.62,3.62,7.25,6.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:34s,lvl:3s},1:{id:16s,lvl:1s}],display:{Name:""Great Gladius""}}"
Iron Sword,enchanted,minecraft:iron_sword,0,"3 hearts (6 HP) · 4.25 vs undead · named ""Oppresive Oxborough Dirk"" · enchanted: Smite I, Knockback II",3.0,4.25,3.0,6.0,6.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:17s,lvl:1s},1:{id:19s,lvl:2s}],display:{Name:""Oppresive Oxborough Dirk""}}"
Iron Sword,enchanted,minecraft:iron_sword,0,"3 hearts (6 HP) · named ""Handy Harpē"" · enchanted: Eldritch Bane III, XP Boost III",3.0,3.0,3.0,6.0,6.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:99s,lvl:3s},1:{id:45s,lvl:3s}],display:{Name:""Handy Harpē""}}"
Iron Sword,enchanted,minecraft:iron_sword,0,"3 hearts (6 HP) · named ""Dangerous Deer Catcher"" · enchanted: Fire Aspect I, Looting II",3.0,3.0,3.0,6.0,6.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:20s,lvl:1s},1:{id:21s,lvl:2s}],display:{Name:""Dangerous Deer Catcher""}}"
Iron Sword,enchanted,minecraft:iron_sword,0,"3 hearts (6 HP) · named ""Awakened Angon"" · enchanted: Eldritch Bane V, Looting III",3.0,3.0,3.0,6.0,6.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:99s,lvl:5s},1:{id:21s,lvl:3s}],display:{Name:""Awakened Angon""}}"
Iron Sword,enchanted,minecraft:iron_sword,0,"3 hearts (6 HP) · 6.75 vs arthropods · named ""Skillful Saber"" · enchanted: Bane of Arthropods III, XP Boost III",3.0,3.0,6.75,6.0,6.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:18s,lvl:3s},1:{id:45s,lvl:3s}],display:{Name:""Skillful Saber""}}"
Iron Sword,enchanted,minecraft:iron_sword,0,"3 hearts (6 HP) · 8 vs arthropods · named ""Deadman's Dagger"" · enchanted: Soulbound III, Bane of Arthropods IV",3.0,3.0,8.0,6.0,6.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:8s,lvl:3s},1:{id:18s,lvl:4s}],display:{Name:""Deadman's Dagger""}}"
Iron Sword,enchanted,minecraft:iron_sword,0,"7.38 hearts (14.75 HP) · named ""Kotetsu"" · enchanted: Soulbound III, Sharpness VII",7.38,7.38,7.38,14.75,6.0,,,,,,,,roguelike/WEAPONS,1,,"{ench:[0:{id:8s,lvl:3s},1:{id:16s,lvl:7s}],display:{Name:""Kotetsu""}}"
Ironwood Pick,enchanted,TwilightForest:item.ironwoodPick,0,"2 hearts (4 HP) · enchanted: Efficiency I, Fortune I",2.0,2.0,2.0,4.0,4.0,,,,,,,,tftreasure/rare,1,,"{ench:[0:{lvl:1s,id:32s},1:{lvl:1s,id:35s}]}"
Leather Boots,enchanted,minecraft:leather_boots,0,"4% damage reduction · 1 armour (0.5 icons), boots · +35 vs fall EPF · named ""Hermes Boots"" · enchanted: Haste III, Unbreaking III, Feather Falling VI",,,,,,4.0,1,0.5,boots,65,0,35 vs fall,roguelike/ARMOUR,1,,"{ench:[0:{id:153s,lvl:3s},1:{id:34s,lvl:3s},2:{id:2s,lvl:6s}],display:{Name:""Hermes Boots""}}"
Mazebreaker,enchanted,TwilightForest:item.mazebreakerPick,0,"2.5 hearts (5 HP) · enchanted: Efficiency IV, Unbreaking III, Fortune II",2.5,2.5,2.5,5.0,5.0,,,,,,,,tftreasure/rare,1,,"{ench:[0:{lvl:4s,id:32s},1:{lvl:3s,id:34s},2:{lvl:2s,id:35s}]}"
Muddy Boots,enchanted,BiomesOPlenty:bootsMud,0,"7.8% damage reduction · 1 armour (0.5 icons), boots · +1 EPF vs all damage · named ""Muddy Matching Socks"" · enchanted: Protection I",,,,,,7.8,1,0.5,boots,26,1,,roguelike/ARMOUR,1,,"{ench:[0:{id:0s,lvl:1s}],display:{Name:""Muddy Matching Socks""}}"
Muddy Chestplate,enchanted,BiomesOPlenty:chestplateMud,0,"7.8% damage reduction · 1 armour (0.5 icons), chestplate · +1 EPF vs all damage · named ""Muddy Motorcycle Jacket"" · enchanted: Protection I",,,,,,7.8,1,0.5,chestplate,32,1,,roguelike/ARMOUR,1,,"{ench:[0:{id:0s,lvl:1s}],display:{Name:""Muddy Motorcycle Jacket""}}"
Muddy Helmet,enchanted,BiomesOPlenty:helmetMud,0,"7.8% damage reduction · 1 armour (0.5 icons), helmet · +1 EPF vs all damage · named ""Muddy Mariner's Cap"" · enchanted: Protection I",,,,,,7.8,1,0.5,helmet,22,1,,roguelike/ARMOUR,1,,"{ench:[0:{id:0s,lvl:1s}],display:{Name:""Muddy Mariner's Cap""}}"
Muddy Leggings,enchanted,BiomesOPlenty:leggingsMud,0,"7.8% damage reduction · 1 armour (0.5 icons), leggings · +1 EPF vs all damage · named ""Muddy Mom Jeans"" · enchanted: Protection I",,,,,,7.8,1,0.5,leggings,30,1,,roguelike/ARMOUR,1,,"{ench:[0:{id:0s,lvl:1s}],display:{Name:""Muddy Mom Jeans""}}"
Netherite Helmet,enchanted,etfuturum:netherite_helmet,0,"38.4% damage reduction · 3 armour (1.5 icons), helmet · +10 EPF vs all damage · named ""Ancient Crown"" · enchanted: Protection VI, Unbreaking III",,,,,,38.4,3,1.5,helmet,407,10,,roguelike/ARMOUR,1,,"{ench:[0:{id:0s,lvl:6s},1:{id:34s,lvl:3s}],display:{Name:""Ancient Crown""}}"
Quartz Boots,enchanted,fether:quartz_boots,0,"8% damage reduction · 2 armour (1 icons), boots · +4 vs fire EPF · named ""Quality Quartz Boots"" · enchanted: Fire Protection II",,,,,,8.0,2,1.0,boots,195,0,4 vs fire,roguelike/ARMOUR,1,,"{ench:[0:{id:1s,lvl:2s}],display:{Name:""Quality Quartz Boots""}}"
Quartz Chestplate,enchanted,fether:quartz_chestplate,0,"24% damage reduction · 6 armour (3 icons), chestplate · +4 vs fire EPF · named ""Quality Quartz Chestplate"" · enchanted: Fire Protection II",,,,,,24.0,6,3.0,chestplate,240,0,4 vs fire,roguelike/ARMOUR,1,,"{ench:[0:{id:1s,lvl:2s}],display:{Name:""Quality Quartz Chestplate""}}"
Quartz Helmet,enchanted,fether:quartz_helmet,0,"8% damage reduction · 2 armour (1 icons), helmet · +4 vs fire EPF · named ""Quality Quartz Helmet"" · enchanted: Fire Protection II",,,,,,8.0,2,1.0,helmet,165,0,4 vs fire,roguelike/ARMOUR,1,,"{ench:[0:{id:1s,lvl:2s}],display:{Name:""Quality Quartz Helmet""}}"
Quartz Leggings,enchanted,fether:quartz_leggings,0,"20% damage reduction · 5 armour (2.5 icons), leggings · +4 vs fire EPF · named ""Quality Quartz Leggings"" · enchanted: Fire Protection II",,,,,,20.0,5,2.5,leggings,225,0,4 vs fire,roguelike/ARMOUR,1,,"{ench:[0:{id:1s,lvl:2s}],display:{Name:""Quality Quartz Leggings""}}"
Ruby Boots,enchanted,ProjRed|Exploration:projectred.exploration.rubyboots,0,"20.8% damage reduction · 3 armour (1.5 icons), boots · +3 EPF vs all damage · named ""Spiky Scale Armor"" · enchanted: Protection III, Thorns II",,,,,,20.8,3,1.5,boots,208,3,,roguelike/ARMOUR,1,,"{ench:[0:{id:0s,lvl:3s},1:{id:7s,lvl:2s}],display:{Name:""Spiky Scale Armor""}}"
Ruby Chestplate,enchanted,ProjRed|Exploration:projectred.exploration.rubychestplate,0,"38.8% damage reduction · 8 armour (4 icons), chestplate · +3 EPF vs all damage · named ""Spiky Scale Armor"" · enchanted: Protection III, Thorns II",,,,,,38.8,8,4.0,chestplate,256,3,,roguelike/ARMOUR,1,,"{ench:[0:{id:0s,lvl:3s},1:{id:7s,lvl:2s}],display:{Name:""Spiky Scale Armor""}}"
Ruby Helmet,enchanted,ProjRed|Exploration:projectred.exploration.rubyhelmet,0,"20.8% damage reduction · 3 armour (1.5 icons), helmet · +3 EPF vs all damage · named ""Spiky Scale Armor"" · enchanted: Protection III, Thorns II",,,,,,20.8,3,1.5,helmet,176,3,,roguelike/ARMOUR,1,,"{ench:[0:{id:0s,lvl:3s},1:{id:7s,lvl:2s}],display:{Name:""Spiky Scale Armor""}}"
Ruby Leggings,enchanted,ProjRed|Exploration:projectred.exploration.rubyleggings,0,"31.6% damage reduction · 6 armour (3 icons), leggings · +3 EPF vs all damage · named ""Spiky Scale Armor"" · enchanted: Protection III, Thorns II",,,,,,31.6,6,3.0,leggings,240,3,,roguelike/ARMOUR,1,,"{ench:[0:{id:0s,lvl:3s},1:{id:7s,lvl:2s}],display:{Name:""Spiky Scale Armor""}}"
Sapphire Boots,enchanted,ProjRed|Exploration:projectred.exploration.sapphireboots,0,"12% damage reduction · 3 armour (1.5 icons), boots · +11 vs explosions EPF · named ""Lambastic Laminar"" · enchanted: Blast Protection IV, Unstable III",,,,,,12.0,3,1.5,boots,208,0,11 vs explosions,roguelike/ARMOUR,1,,"{ench:[0:{id:3s,lvl:4s},1:{id:211s,lvl:3s}],display:{Name:""Lambastic Laminar""}}"
Sapphire Chestplate,enchanted,ProjRed|Exploration:projectred.exploration.sapphirechestplate,0,"32% damage reduction · 8 armour (4 icons), chestplate · +11 vs explosions EPF · named ""Lambastic Laminar"" · enchanted: Blast Protection IV, Unstable III",,,,,,32.0,8,4.0,chestplate,256,0,11 vs explosions,roguelike/ARMOUR,1,,"{ench:[0:{id:3s,lvl:4s},1:{id:211s,lvl:3s}],display:{Name:""Lambastic Laminar""}}"
Sapphire Helmet,enchanted,ProjRed|Exploration:projectred.exploration.sapphirehelmet,0,"12% damage reduction · 3 armour (1.5 icons), helmet · +11 vs explosions EPF · named ""Lambastic Laminar"" · enchanted: Blast Protection IV, Unstable III",,,,,,12.0,3,1.5,helmet,176,0,11 vs explosions,roguelike/ARMOUR,1,,"{ench:[0:{id:3s,lvl:4s},1:{id:211s,lvl:3s}],display:{Name:""Lambastic Laminar""}}"
Sapphire Leggings,enchanted,ProjRed|Exploration:projectred.exploration.sapphireleggings,0,"24% damage reduction · 6 armour (3 icons), leggings · +11 vs explosions EPF · named ""Lambastic Laminar"" · enchanted: Blast Protection IV, Unstable III",,,,,,24.0,6,3.0,leggings,240,0,11 vs explosions,roguelike/ARMOUR,1,,"{ench:[0:{id:3s,lvl:4s},1:{id:211s,lvl:3s}],display:{Name:""Lambastic Laminar""}}"
Steel Boots,enchanted,Railcraft:armor.steel.boots,0,"28.2% damage reduction · 2 armour (1 icons), boots · +7 EPF vs all damage · named ""Protective Plate Armor"" · enchanted: Protection V, Unbreaking II",,,,,,28.2,2,1.0,boots,325,7,,roguelike/ARMOUR,1,,"{ench:[0:{id:0s,lvl:5s},1:{id:34s,lvl:2s}],display:{Name:""Protective Plate Armor""}}"
Steel Chestplate,enchanted,Railcraft:armor.steel.plate,0,"40.7% damage reduction · 6 armour (3 icons), chestplate · +7 EPF vs all damage · named ""Protective Plate Armor"" · enchanted: Protection V, Unbreaking II",,,,,,40.7,6,3.0,chestplate,400,7,,roguelike/ARMOUR,1,,"{ench:[0:{id:0s,lvl:5s},1:{id:34s,lvl:2s}],display:{Name:""Protective Plate Armor""}}"
Steel Helmet,enchanted,Railcraft:armor.steel.helmet,0,"28.2% damage reduction · 2 armour (1 icons), helmet · +7 EPF vs all damage · named ""Protective Plate Armor"" · enchanted: Protection V, Unbreaking II",,,,,,28.2,2,1.0,helmet,275,7,,roguelike/ARMOUR,1,,"{ench:[0:{id:0s,lvl:5s},1:{id:34s,lvl:2s}],display:{Name:""Protective Plate Armor""}}"
Steel Leggings,enchanted,Railcraft:armor.steel.legs,0,"37.6% damage reduction · 5 armour (2.5 icons), leggings · +7 EPF vs all damage · named ""Protective Plate Armor"" · enchanted: Protection V, Unbreaking II",,,,,,37.6,5,2.5,leggings,375,7,,roguelike/ARMOUR,1,,"{ench:[0:{id:0s,lvl:5s},1:{id:34s,lvl:2s}],display:{Name:""Protective Plate Armor""}}"
Steeleaf Axe,enchanted,TwilightForest:item.steeleafAxe,0,3 hearts (6 HP) · enchanted: Efficiency V,3.0,3.0,3.0,6.0,6.0,,,,,,,,tftreasure/uncommon,1,,"{ench:[0:{lvl:5s,id:32s}]}"
Steeleaf Boots,enchanted,TwilightForest:item.steeleafBoots,0,"13.5% damage reduction · 2 armour (1 icons), boots · +2 EPF vs all damage · enchanted: Protection II",,,,,,13.5,2,1.0,boots,260,2,,tftreasure/uncommon,1,,"{ench:[0:{lvl:2s,id:0s}]}"
Steeleaf Helm,enchanted,TwilightForest:item.steeleafHelm,0,"8% damage reduction · 2 armour (1 icons), helmet · enchanted: Respiration III",,,,,,8.0,2,1.0,helmet,220,0,,tftreasure/uncommon,1,,"{ench:[0:{lvl:3s,id:5s}]}"
Steeleaf Legs,enchanted,TwilightForest:item.steeleafLegs,0,"20% damage reduction · 5 armour (2.5 icons), leggings · +9 vs fire EPF · enchanted: Fire Protection IV",,,,,,20.0,5,2.5,leggings,300,0,9 vs fire,tftreasure/uncommon,1,,"{ench:[0:{lvl:4s,id:1s}]}"
Steeleaf Pick,enchanted,TwilightForest:item.steeleafPick,0,"2.5 hearts (5 HP) · enchanted: Efficiency IV, Silk Touch I",2.5,2.5,2.5,5.0,5.0,,,,,,,,tftreasure/rare,1,,"{ench:[0:{lvl:4s,id:32s},1:{lvl:1s,id:33s}]}"
